date,FDEB2001
2021-09-01,44056880.08
2021-10-01,45179692.82
2021-11-01,45025595.45
2021-12-01,46041942.33
2022-01-01,45805168.91
2022-02-01,45786278.88
2022-03-01,46221971.02
2022-04-01,45763484.81
2022-05-01,45783712.9
2022-06-01,46454152.23
2022-07-01,46484035.44
2022-08-01,46287301.16
2022-09-01,46057296.46
2022-10-01,45592905.3
2022-11-01,45744286.99
2022-12-01,47707428.74
2023-01-01,47689006.44
2023-02-01,
2023-03-01,47559731.6
2023-04-01,47417920.89
2023-05-01,46245635.21
2023-06-01,46149362.98
2023-07-01,46350864.49
2023-08-01,46652569.2
2023-09-01,46801906.55
2023-10-01,46714163.67
2023-11-01,
2023-12-01,46877297.79
2024-01-01,46747971.27
2024-02-01,46574007.84
2024-03-01,46345519.03
2024-04-01,46184854.91
2024-05-01,46884795.61
2024-06-01,46875402.70928499
2024-07-01,47183557.500831
2024-08-01,48210932.931974
2024-09-01,48651604.548398
2024-10-01,48744876.520309016


 Definition: Total deuda publica externa agregada mas otras obligaciones. Source: MEF
