date,LEMP0010
2007-12-01,6019332.063870332
2008-06-01,6245224.984420605
2008-12-01,6005395.007672603
2009-12-01,6125135.143420569
2010-06-01,6174141.384705634
2010-12-01,6113230.235698362
2011-06-01,6224583.681828775
2011-12-01,6304833.714885003
2012-06-01,6588270.940948524
2012-12-01,6424839.970885222
2013-06-01,6725794.577790855
2013-12-01,6664240.634507369
2014-03-01,6706314.095821819
2014-06-01,6643458.066786769
2014-09-01,6866775.937243131
2014-12-01,6921107.1714621335
2015-03-01,7091116.0875302125
2015-06-01,7098583.838668644
2015-09-01,7274220.898161018
2015-12-01,7140635.675080843
2016-03-01,7412670.798315666
2016-06-01,7415098.893145739
2016-09-01,7637985.707253933
2016-12-01,7463579.432959358
2017-03-01,7728968.464213734
2017-06-01,7781560.237705758
2017-09-01,7842471.274759604
2017-12-01,7712177.457809926
2018-03-01,7802374.01320303
2018-06-01,7648772.924401388
2018-09-01,7933625.000008361
2018-12-01,7731032.497471607
2019-03-01,7786532.023336395
2019-06-01,7865786.1161304945
2019-09-01,7972484.57390982
2019-12-01,7787895.930241204
2020-09-01,7501527.225559974
2020-10-01,7805425.983976891
2020-11-01,7698732.633374259
2020-12-01,7687686.765945721
2021-01-01,7900929.388747986
2021-02-01,7790521.325767156
2021-03-01,7661623.038098465
2021-04-01,7898749.935649872
2021-05-01,7963335.776704184
2021-06-01,7905780.815117551
2021-07-01,7850799.349999576
2021-08-01,8125322.058145639
2021-09-01,8066696.030917216
2021-10-01,8014143.558095141
2021-11-01,8105431.3417486735
2021-12-01,8246212.028358236
2022-01-01,8046520.335789636
2022-02-01,8114442.547582814
2022-03-01,7916916.152687049
2022-04-01,8124630.749167035
2022-05-01,8242866.014592449
2022-06-01,8190998.556890205
2022-07-01,8247527.875762068
2022-08-01,8193370.572873729
2022-09-01,8338869.439936183
2022-10-01,8323299.89458771
2022-11-01,8061940.714491666
2022-12-01,8090895.042442857
2023-01-01,8247268.750678107
2023-02-01,8179132.399473446
2023-03-01,8027314.695847024
2023-04-01,8161464.719648362
2023-05-01,7998638.60343763
2023-06-01,8117780.828847713
2023-07-01,8110822.7800517
2023-08-01,8211820.745581009
2023-09-01,8446444.089276657
2023-10-01,8095038.563552958
2023-11-01,8198721.826102722
2023-12-01,8321938.934966125
2024-01-01,8212169.968069538
2024-02-01,7991736.468622236
2024-03-01,8208260.4945951635
2024-04-01,8316846.31916317
2024-05-01,8128910.118840637
2024-06-01,8407860.542567877
2024-07-01,8359158.41277092
2024-08-01,8263467.684678938
2024-09-01,8408857.192335548


 Definition: Empleo. Source: INE
