date,MMUL0001
2010-01-01,2.6837185068199823
2010-02-01,2.8229369290357385
2010-03-01,2.8123670104206795
2010-04-01,2.798769104106813
2010-05-01,2.7381107146052504
2010-06-01,2.9041324749650648
2010-07-01,2.9150793067338063
2010-08-01,2.982684538618442
2010-09-01,2.8740683701919334
2010-10-01,2.805123010193422
2010-11-01,2.882877695993776
2010-12-01,2.9860777904473585
2011-01-01,3.212521822156495
2011-02-01,3.2145171351766293
2011-03-01,3.1028970661837185
2011-04-01,2.9978241038279303
2011-05-01,3.039791053508587
2011-06-01,3.1097251174230656
2011-07-01,3.134988537025661
2011-08-01,3.117311205625108
2011-09-01,3.151250656951217
2011-10-01,3.1206489906687995
2011-11-01,3.1308254640893547
2011-12-01,3.164659822702282
2012-01-01,3.1582951918142577
2012-02-01,3.253234785611892
2012-03-01,3.224532513665322
2012-04-01,3.327074426061107
2012-05-01,3.349076725603112
2012-06-01,3.287438346572942
2012-07-01,3.320097345839418
2012-08-01,3.0690465219027305
2012-09-01,3.0545128118260583
2012-10-01,3.091953907513941
2012-11-01,2.9998007855735205
2012-12-01,3.0894688978808857
2013-01-01,3.1778411782902265
2013-02-01,3.0865056691202555
2013-03-01,2.939462965407229
2013-04-01,2.9441997835370577
2013-05-01,3.013337203740445
2013-06-01,2.968726428336065
2013-07-01,2.9792554156094786
2013-08-01,2.823464191616195
2013-09-01,2.7728535461045496
2013-10-01,2.7986522769821867
2013-11-01,2.7286256160862337
2013-12-01,2.751564419771925
2014-01-01,2.822622740587774
2014-02-01,2.862045096135822
2014-03-01,2.850951257347242
2014-04-01,2.945945795211831
2014-05-01,2.9083666369011
2014-06-01,2.8667647759520225
2014-07-01,2.887879134759224
2014-08-01,2.8061930842382736
2014-09-01,2.8756939211272834
2014-10-01,2.8155172596523097
2014-11-01,2.7010148527097755
2014-12-01,2.722430614441397
2015-01-01,2.8083619862228315
2015-02-01,2.8581507207533456
2015-03-01,2.817036937991796
2015-04-01,2.7951903337020614
2015-05-01,2.66929691480872
2015-06-01,2.611956642908124
2015-07-01,2.6038674935787016
2015-08-01,2.5734949905340905
2015-09-01,2.549133899386792
2015-10-01,2.4497365820374526
2015-11-01,2.3738664330609893
2015-12-01,2.3866831644867905
2016-01-01,2.3094217682574447
2016-02-01,2.3111186779153936
2016-03-01,2.329461674005298
2016-04-01,2.345213940276442
2016-05-01,2.319370733381889
2016-06-01,2.274392530091925
2016-07-01,2.2450713804805984
2016-08-01,2.2771020853289627
2016-09-01,2.2716929835323576
2016-10-01,2.231122160466301
2016-11-01,2.232548166894881
2016-12-01,2.170225801846694
2017-01-01,2.2115745117717336
2017-02-01,2.213813685362554
2017-03-01,2.241201203823199
2017-04-01,2.2596886440412622
2017-05-01,2.312184952513324
2017-06-01,2.294024134264291
2017-07-01,2.301330865620121
2017-08-01,2.3303614059476763
2017-09-01,2.327843628767373
2017-10-01,2.315654381781775
2017-11-01,2.295363245386328
2017-12-01,2.281713442069177
2018-01-01,2.3519154034441705
2018-02-01,2.34615214397078
2018-03-01,2.311899005973841
2018-04-01,2.3446424287963747
2018-05-01,2.3461852149793674
2018-06-01,2.365452819449912
2018-07-01,2.368333762469315
2018-08-01,2.360470247053739
2018-09-01,2.3816235377301385
2018-10-01,2.378055259854949
2018-11-01,2.383738827083572
2018-12-01,2.355140884366645
2019-01-01,2.3788245211755905
2019-02-01,2.35578575499211
2019-03-01,2.523824258187072
2019-04-01,2.422297813821506
2019-05-01,2.3835245542377645
2019-06-01,2.434696137693358
2019-07-01,2.430900172295524
2019-08-01,2.419023858736536
2019-09-01,2.4975709727091564
2019-10-01,2.4595824397105868
2019-11-01,2.4615300851916087
2019-12-01,2.4754531341634824
2020-01-01,2.462839412270968
2020-02-01,2.4430994641024952
2020-03-01,2.4330519580729124
2020-04-01,2.32521496930526
2020-05-01,2.2606671620392373
2020-06-01,2.2722976231349423
2020-07-01,2.276154551263071
2020-08-01,2.3003606655294977
2020-09-01,2.317302016413455
2020-10-01,2.2404643916368148
2020-11-01,2.248859620387095
2020-12-01,2.216238352384638
2021-01-01,2.261433250948552
2021-02-01,2.295843619419588
2021-03-01,2.323797735419452
2021-04-01,2.348450177051328
2021-05-01,2.3293101680051014
2021-06-01,2.366917033120335
2021-07-01,2.45949264693426
2021-08-01,2.4884051303971666
2021-09-01,2.4839733425840267
2021-10-01,2.3819081107844635
2021-11-01,2.411587262836954
2021-12-01,2.4204713049417035
2022-01-01,2.462164459213437
2022-02-01,2.477574573799777
2022-03-01,2.47923242694036
2022-04-01,2.5304309361632704
2022-05-01,2.6131673017231005
2022-06-01,2.6362525343941776
2022-07-01,2.602651628444971
2022-08-01,2.657404509802788
2022-09-01,2.698005907616381
2022-10-01,2.6769355204091623
2022-11-01,2.705417132098068
2022-12-01,2.624225932468645
2023-01-01,2.664428578751267
2023-02-01,2.699465189706338
2023-03-01,2.749395725045706
2023-04-01,2.7671999150386206
2023-05-01,2.774133911613124
2023-06-01,2.803819939728017
2023-07-01,2.826859189988125
2023-08-01,2.87310344592028
2023-09-01,2.8540086891418417
2023-10-01,2.863596949596658
2023-11-01,2.911533570531848
2023-12-01,2.903474794447226
2024-01-01,2.9431420837841995
2024-02-01,2.967260386159734
2024-03-01,2.9700610392803464
2024-04-01,2.964440066523301
2024-05-01,2.936581675842658
2024-06-01,2.924639061065734
2024-07-01,2.9478225467853822


 Definition: Multiplicador M2/BM (MLIQ0000/MBAS0000). Source: BCE
