date,TACT0000
2016-01-01,112.99377384468968
2016-04-01,820.1500558853002
2016-07-01,1055.26015325336
2016-10-01,-154.43448091834037
2017-01-01,-487.4034833864525
2017-04-01,661.0453163919792
2017-07-01,-2163.6132148
2017-10-01,-315.5074062733333
2018-01-01,2414.5595063000005
2018-04-01,-1672.372003333334
2018-07-01,-469.1975383666664
2018-10-01,-101.83195277986408
2019-01-01,1269.5685217266666
2019-04-01,251.32833608999985
2019-07-01,712.9817633333339
2019-10-01,-1518.5287866666672
2020-01-01,-1319.382653066666
2020-04-01,1003.2700450499996
2020-07-01,685.7695725000001
2020-10-01,3776.6174136666655
2021-01-01,-1155.537098733333
2021-04-01,342.8353506000004
2021-07-01,218.38395699999867
2021-10-01,1541.9897002700004
2022-01-01,1193.14892384
2022-04-01,-503.32867088333234
2022-07-01,-44.14220986666739
2022-10-01,-77.51354248999984
2023-01-01,-450.3724365366663
2023-04-01,-1145.6744662666672
2023-07-01,-608.4503367033342
2023-10-01,-2080.520625520001
2024-01-01,731.2984359966683


 Definition: Activos de reserva. Source: BCE
