date,TIMP0032
2022-01-01,631385.555644
2022-02-01,619285.031939
2022-03-01,728784.533603
2022-04-01,692178.140721
2022-05-01,587684.762583
2022-06-01,673084.200046
2022-07-01,602172.393136
2022-08-01,660573.937037
2022-09-01,694332.504513
2022-10-01,551173.527994
2022-11-01,609337.277521
2022-12-01,528437.624891
2023-01-01,552191.304216
2023-02-01,506624.592399
2023-03-01,547824.368989
2023-04-01,537778.608262
2023-05-01,590406.977572
2023-06-01,578117.283706
2023-07-01,538709.782166
2023-08-01,578526.330973
2023-09-01,487575.554299
2023-10-01,575544.581454
2023-11-01,541853.482948
2023-12-01,427719.089013
2024-01-01,472025.240669
2024-02-01,457462.869118
2024-03-01,495604.833058
2024-04-01,471404.572856
2024-05-01,531516.155593


 Definition: Importaciones de materias primas: Industriales. Source: BCE
